algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.122600,9523,8
QuickSort,random,1000,0.147400,11297,7
QuickSelect,random,1000,0.069400,4051,14
MergeSort,sorted,1000,0.058500,4236,8
QuickSort,sorted,1000,0.049800,12033,6
QuickSelect,sorted,1000,0.007300,3710,16
MergeSort,duplicates,1000,0.099500,9120,8
QuickSort,duplicates,1000,0.018200,3623,2
QuickSelect,duplicates,1000,0.012900,2499,4
MergeSort,random,10000,2.059100,127257,11
QuickSort,random,10000,0.868600,159182,8
QuickSelect,random,10000,0.108400,23907,18
MergeSort,sorted,10000,0.151300,59248,11
QuickSort,sorted,10000,0.488100,159822,8
QuickSelect,sorted,10000,0.036400,26100,18
MergeSort,duplicates,10000,0.389900,121458,11
QuickSort,duplicates,10000,0.148500,31963,2
QuickSelect,duplicates,10000,0.107700,19965,3
MergeSort,random,100000,9.299600,1639091,14
QuickSort,random,100000,10.005600,2088984,10
QuickSelect,random,100000,1.244800,347290,23
MergeSort,sorted,100000,1.845400,744016,14
QuickSort,sorted,100000,5.113100,2115516,10
QuickSelect,sorted,100000,0.377000,318996,23
MergeSort,duplicates,100000,4.700400,1561597,14
QuickSort,duplicates,100000,1.466600,329693,2
QuickSelect,duplicates,100000,1.022600,250821,5
MergeSort,random,1000000,118.035500,19889925,18
QuickSort,random,1000000,121.761900,24779828,13
QuickSelect,random,1000000,15.643500,3898526,28
MergeSort,sorted,1000000,26.036200,9071040,18
QuickSort,sorted,1000000,59.509700,26258308,13
QuickSelect,sorted,1000000,3.098500,2723646,27
MergeSort,duplicates,1000000,54.681100,18927563,18
QuickSort,duplicates,1000000,15.130400,3299429,2
QuickSelect,duplicates,1000000,10.945100,2301509,4
